# Figure 7 of Tatsuuma et al. (2019)
# initial_volume_filling_factor tensile_strength_(Pa) error_of_tensile_strength_(Pa)
2.51188643e-02 1.86109376e+02 6.69672532e+01
5.01187234e-02 5.55498724e+02 1.64533211e+02
1.00000000e-01 2.12202124e+03 4.19713584e+02
