# Figure 6 of Tatsuuma et al. (2019)
# initial_volume_filling_factor tensile_strength_(Pa) error_of_tensile_strength_(Pa)
2.51188643e-02 7.00612051e+01 3.66828444e+01
5.01187234e-02 2.19455231e+02 8.13428834e+01
1.00000000e-01 8.33001642e+02 1.76787673e+02
0.3981071705534972 9918.47727981125 430.4812164113896
