# Figure 7 of Tatsuuma et al. (2019)
# initial_volume_filling_factor tensile_strength_(Pa) error_of_tensile_strength_(Pa)
2.51188643e-02 4.04570301e+02 1.44033464e+02
5.01187234e-02 1.14572237e+03 3.62603400e+02
1.00000000e-01 4.00290887e+03 7.82940073e+02
