# Figure 1 of Tatsuuma et al. (2024)
# We cited Table 1 of Carry (2012), but excluded some data with large errors that exceed the density values
# Diameter(km) Diameter_error(km) density(g/cm^3) density_error(g/cm^3)
110.17 	 4.57 	 2.69 	 0.43
146.13 	 2.66 	 2.99 	 1.05
94.03 	 5.37 	 2.5300000000000002 	 2.15
31.29 	 1.2 	 2.35 	 0.29
53.0 	 2.59 	 1.32 	 0.2
190.05 	 6.82 	 2.16 	 0.26
107.95 	 6.62 	 6.29 	 1.32
140.31 	 3.34 	 2.24 	 1.56
132.74 	 10.13 	 1.12 	 0.25
70.3 	 2.32 	 6.31 	 6.18
71.88 	 4.32 	 9.56 	 1.73
234.67 	 7.8 	 1.52 	 0.2
122.59 	 3.7199999999999998 	 3.27 	 0.55
63.87 	 3.14 	 7.91 	 1.65
129.2 	 3.37 	 1.22 	 0.43
98.78 	 2.63 	 5.3 	 2.37
93.27 	 3.05 	 14.89 	 1.52
145.23 	 17.21 	 2.23 	 1.01
154.34 	 5.65 	 3.73 	 1.3900000000000001
134.76 	 5.17 	 6.1 	 1.3599999999999999
104.51 	 2.42 	 9.76 	 1.73
191.12 	 2.68 	 1.4 	 0.18
191.65 	 4.01 	 2.29 	 1.43
87.28 	 5.7 	 1.1 	 0.22
123.41 	 6.3 	 9.32 	 1.6400000000000001
170.35 	 8.4 	 3.14 	 0.76
103.51 	 2.23 	 3.27 	 1.11
96.97 	 3.01 	 7.16 	 6.38
122.14 	 7.69 	 1.44 	 0.3
176.33 	 4.5 	 4.1 	 0.84
115.55 	 8.22 	 7.72 	 1.69
87.1 	 2.5700000000000003 	 9.44 	 8.99
124.47 	 3.08 	 1.7000000000000002 	 0.35000000000000003
141.54 	 2.08 	 9.96 	 0.75
211.64 	 16.02 	 1.3900000000000001 	 0.5
65.58 	 1.7000000000000002 	 1.32 	 0.16
164.63 	 2.6 	 4.55 	 1.23
88.6 	 4.1 	 9.52 	 2.5
66.76 	 4.82 	 10.07 	 9.24
234.42 	 10.17 	 1.6 	 0.8
88.13 	 6.89 	 3.32 	 0.84
126.0 	 4.91 	 4.32 	 1.75
124.55 	 8.77 	 3.01 	 1.82
107.23 	 4.71 	 8.95 	 2.5300000000000002
56.31 	 4.15 	 14.53 	 5.68
162.32 	 9.54 	 1.1 	 0.54
110.96 	 3.8 	 8.37 	 3.23
97.36 	 3.18 	 9.97 	 4.15
87.58 	 3.58 	 8.1 	 1.38
101.51 	 1.83 	 7.28 	 7.02
