#Comet,Density preferred value [kg m^-3],Density lower limit [kg m^-3],Density upper limit [kg m^-3],Method,Reference,Diameter [km],Diameter-sigma [km],Reference
67P/Churyumov-Gerasimenko,535,500,570,In-situ mass and volume,Preusker et al. (2015),4.0,,https://ssd.jpl.nasa.gov/sbdb_query.cgi
67P/Churyumov-Gerasimenko,532,525,539,In-situ mass and volume,Jorda et al. (2016),4.0,,https://ssd.jpl.nasa.gov/sbdb_query.cgi
