# Figure 6 of Tatsuuma et al. (2019)
# initial_volume_filling_factor tensile_strength_(Pa) error_of_tensile_strength_(Pa)
2.51188643e-02 2.19247702e+02 6.76006109e+01
5.01187234e-02 6.78834377e+02 2.12982851e+02
1.00000000e-01 2.44526585e+03 5.42258902e+02
